user_name,Name
afd.offiziell,AfD
afd.nrw,AfD NRW 
afdhessen,AfD Hessen
afd.bayern,AfD Bayern
afd_brandenburg,AfD Brandenburg
afd.niedersachsen,AfD Niedersachsen
afd.thueringen,AfD Thüringen
afdsaarland,AfD Saarland
afdsachsen,AfD Sachsen
afdelmshorn,AfD Elmshorn
afdkreispinneberg,AfD Pinneberg
afd.reinickendorf,AfD Reinickendorf
afd_fraktion_bundestag,AfD-Fraktion im Deutschen Bundestag
afdfraktionimbundestag,AfD-Fraktion im Deutschen Bundestag
hauptstadtfraktion,AfD-Fraktion Berlin
afd.landtag.bayern,AfD-Fraktion Bayern
afdfraktion.bw,AfD-Fraktion Baden-Württemberg
afd.fraktion.nrw,AfD-Fraktion NRW
afd_thl,AfD-Fraktion im Thüringer Landtag
afdfraktionhamburg,AfD-Fraktion in der Hamburgischen Bürgerschaft
afd.fraktion.mv,AfD-Fraktion im Landtag Mecklenburg-Vorpommern
afd_fraktionbb,AfD-Fraktion im Landtag Brandenburg
afd.fraktion.nds,AfD-Fraktion Niedersachsen
afdfraktionsachsenanhalt,AfD-Fraktion Sachsen-Anhalt
afdfraktion.rlp,AfD-Fraktion Rheinland-Pfalz
afdfraktion.hesse,AfD-Fraktion Hessen
afd_im_landtag_saarland,AfD-Fraktion Saarland
afd.eu,AfD im EU-Parlament
guidoreil,"Guido Reil, MEP"
nicolaus.fest,"Nicolas Fest, MEP"
mep_christine_anderson,"Christine Anderseon, MEP"
realgunnarbeck,"Dr. Gunnar Beck, MEP"
markus.buchheit,"Markus Buchheit, MEP"
maximilian_krah,"Maximilian Krah, MEP"
drsylvialimmer,"Dr. Sylvia Limmer, MEP"
bernhardzimniok,"Bernhard Zimniok, MEP"
nicolehoechst_mdb,"Nicole Höchst, MdB "
joana_cotar,"Joana Cotar, MdB "
brandner_afd,"Stephan Brandner, MdB"
juergenpohlafd,"Jürgen Pohl, MdB"
mr_afd,"Martin Reichardt, MdB"
alice_weidel_afd,"Alice Weidel, MdB"
janwenzelschmidt,"Jan Wenzel Schmidt, MdB"
roger_beckamp,"Roger Beckamp, MdB"
rene_springer,"René Springer, MdB"
petrbystronafd,"Petr Bystron, MdB"
gerrithuy,"Gerrit Huy, MdB"
protschkasposition,"Stephan Protschka, MdB"
steffenkotre,"Steffen Kotré, MdB"
beatrixvonstorchneu,"Beatrix von Storch, MdB"
jan_nolte_bundestag,"Jan Nolte, MdB "
goetzfroemming,"Dr. Götz Frömming, MdB"
kleinwaechterafd,"Norbert Kleinwächter, MdB"
enricokomning,"Enrico Komning, MdB"
brandesdirk,"Dirk Brandes, MdB"
peterfelser_mdb,"Peter Felser, MdB"
albrecht_glaser_mdb,"Albrecht Glaser, MdB"
hannesgnauck,"Hannes Gnauck, MdB"
dr.dirkspaniel,"Dr. Dirk Spaniel, MdB"
malte.kaufmann,"Prof. Dr. Malte Kaufmann, MdB"
stefan_keuter,"Stefan Keuter, MdB"
edgarnaujokmdb,"Edgar Naujok, MdB"
frank.rinck,"Frank Rinck, MdB"
bernd.schattner.mdb,"Bernd Schattner, MdB"
eugen_schmidt.mdb,"Eugen Schmidt, MdB"
dietmar.friedhoff.mdb,"Dietmar Friedhoff, MdB"
joachimwundrak,"Joachim Wundrak, MdB"
karstenhilseafd,"Karsten Hilse, MdB"
sichertdeutschland,"Martin Sichert, MdB"
dr.christinabaum,"Dr. Christina Baum, MdB"
dr.christinabaum,"Peter Boehringer, MdB"
tino.chrupalla.afd,"Tino Chrupalla, MdB"
gottfriedcurio/,"Gottfried Curio, MdB"
thomas.ehrhorn,"Thomas Ehrhorn, MdB"
kaygottschalk,"Kay Gottschalck, MdB"
dr_espendiller,"Dr. Michael Espendiller, MdB"
markusfrohnmaier,"Markus Frohnmaier, MdB"
matthias_helferich,"Matthias Helferich, MdB"
kaufmannm,"Michael Kaufmann, MdB"
joernkoenig_mdb,"Jörn König, MdB"
muenzenmaier,"Sebastian Münzenmaier, MdB"
gerold_otten/,"Gerold Otten, MdB"
thomas_seitz_mdb,"Thomas Seitz, MdB"
haraldweyel,"Prof. Dr. Harald Weyel, MdB"
dr.rainer.rothfuss,"Dr. Rainer Rothfuss, MdB"
carolin_bachmann_mdb,"Carolin Bachmann, MdB"
gereonbollmann,"Gereon Bollmann, MdB"
dieterlaudenbach8,"Dieter Laudenbach, MdL "
thomasrudy.afd,"Thomas Rudy, MdL "
gunnar.lindemann.mda,"Gunnar Lindemann, MdA"
birgit_bessin,"Birgit Bessin, MdL"
mutzurwahrheit90,"Ulrich Siegmund, MdL"
danielwald.mdl,"Daniel Wald, MdL"
dennis.hohloch,"Dennis Hohloch, MdL"
wahrheitundklarheit,"Dr. Hans-Thomas Tillschneider, MdL"
miguelklaussafd,"Miguel Klauß, MdL "
rubenruppecht,"Ruben Rupp, MdL "
dr.danielaoeynhausen,"Dr. Daniela Oeynhausen, MdL"
haraldlaatsch,"Harald Laatsch, MdA"
wahrheitkannwehtun,"Matthias Büttner, MdL "
bjoernhoecke,"Björn Höcke, MdL"
ralfunzensiert,"Ralf Stadler, MdL"
rimuehl,"Ringo Mühlmann, MdL"
larsschieske,"Lars Schieske, MdL"
rene__aust,"Rene Aust, MdL"
carloclemens_afd,"Carlo Clemens, MdL"
hansjuergengossnermdl,"Hans-Jürgen Gossner, MdL"
klausesser_nrw,"Klaus Essen, MdL"
dr.kristinbrinker,"Dr. Kristin Brinker, MdA"
ronaldglaeser,"Ronald Gläser, MdA"
fc_hansel,"Frank-Christian Hansel, MdA"
danielmuenschke,"Daniel Münschke, MdL"
