video_id,video_timestamp,video_duration,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,suggested_words,url
7318212032979864865,1703904232,21,259215,11339,6486,7776456,Was haltet ihr davon? #streik 8.1.2024  #generalstreik  #bauernproteste  #dieampelmussweg ???,False,derletztepeter,derletztePeter,43400,4923,822700,647,29200,False,"['streik', 'generalstreik', 'bauernproteste', 'dieampelmussweg']",https://www.tiktok.com/@derletztepeter/video/7318212032979864865
7320578484609256736,1704455008,69,196185,68661,9390,6522042,Seit ihr dabei beim streik #streiken #streik8124 #bauernstreik #ampelstreik2024 #ampelmussweg @Deutschland Nachrichten 🇩🇪 folgt ihn auch von ihm habe ich das video 🔥🙏,False,zeitzeugengenausdemkrieg,zeitzeugengenausdemkrieg,57700,49,737900,190,488,False,"['streiken', 'streik8124', 'bauernstreik', 'ampelstreik2024', 'ampelmussweg', '']",https://www.tiktok.com/@zeitzeugengenausdemkrieg/video/7320578484609256736
7347405572540599584,1710701176,14,374220,15631,14860,6145405,#путинвор #путинхуйло #пропаганда #кремль #putin #afddeutschland #европа #путин #россия #украина #россия🇷🇺 #украина🇺🇦 #русскиевгермании #russlanddeutsche #нетвойне #пропаганда #deutschland #afd #берлин #berlin ,False,kukla4242,kukla 4242,37600,398,1000000,187,71,False,"['путинвор', 'путинхуйло', 'пропаганда', 'кремль', 'putin', 'afddeutschland', 'европа', 'путин', 'россия', 'украина', 'россия🇷🇺', 'украина🇺🇦', 'русскиевгермании', 'russlanddeutsche', 'нетвойне', 'пропаганда', 'deutschland', 'afd', 'берлин', 'berlin']",https://www.tiktok.com/@kukla4242/video/7347405572540599584
7259813032321092891,1690306946,25,423464,44431,11512,6056046,Alice Weidel💙🇩🇪💙 #edit #aliceweidel #deutschland #afd #wirsinddasvolk #wahlumfragen #berlin ,False,wirsinddasvolkde,AfD,94400,8,1200000,22,135,False,"['edit', 'aliceweidel', 'deutschland', 'afd', 'wirsinddasvolk', 'wahlumfragen', 'berlin']",https://www.tiktok.com/@wirsinddasvolkde/video/7259813032321092891
7317232563129552161,1703675984,61,208353,2390,5403,5817725,Fragenhagel mit Alice Weidel (AfD) #fy #foryou #foryoupage #fürdich #fürdichseiteシ #viral #trend #aliceweidel #afd #afddeutschland #afdfraktion ,False,denzho,Deniz 🦅,41900,719,1200000,94,1354,False,"['fy', 'foryou', 'foryoupage', 'fürdich', 'fürdichseiteシ', 'viral', 'trend', 'aliceweidel', 'afd', 'afddeutschland', 'afdfraktion']",https://www.tiktok.com/@denzho/video/7317232563129552161
7321091686698929441,1704574496,8,177350,4613,4920,4930717,Seid ihr dabei bei den Protesten?🔥#news #demo #germany #regierung #neuwahlen #regierungmussweg #regierungsversagen #regierungswahnsinn ,False,crazy_clips_tv,Mr Beast Clips,33500,447,638700,21,16,False,"['news', 'demo', 'germany', 'regierung', 'neuwahlen', 'regierungmussweg', 'regierungsversagen', 'regierungswahnsinn']",https://www.tiktok.com/@crazy_clips_tv/video/7321091686698929441
7321386800667200801,1704643206,9,381054,19721,8414,4926529,Wer ist ebenfalls dabei?💪🏽🔥 #demo #news #bauerndemo #regierung #germany #neuwahlen #regierungsversagen #regierungmussweg #regierungswahnsinn ,False,crazy_clips_tv,Mr Beast Clips,33500,447,638700,21,16,False,"['demo', 'news', 'bauerndemo', 'regierung', 'germany', 'neuwahlen', 'regierungsversagen', 'regierungmussweg', 'regierungswahnsinn']",https://www.tiktok.com/@crazy_clips_tv/video/7321386800667200801
7325036849943022881,1705493051,40,219073,5716,9307,4858904,Antwort auf @Alena #aliceweidel #Aliceweideledit #afd #foryou #fürdich #dieausderafd #trend #viral #fyp #foryoupage #politik #mutzurwahrheit #fy #funny #afdfraktionsvorsitzende ,False,dieausderafd,Dieausderafd,192700,194,3900000,456,21900,False,"['', 'aliceweidel', 'aliceweideledit', 'afd', 'foryou', 'fürdich', 'dieausderafd', 'trend', 'viral', 'fyp', 'foryoupage', 'politik', 'mutzurwahrheit', 'fy', 'funny', 'afdfraktionsvorsitzende']",https://www.tiktok.com/@dieausderafd/video/7325036849943022881
7113971600302574849,1656350591,7,84396,2357,262,4634835,#fyup #sghome #fykpop #fyk7 #dga #afddeutschland #hjkhorki,False,x6.96_,الاسباني🇦🇪,218900,10,589600,58,355,False,"['fyup', 'sghome', 'fykpop', 'fyk7', 'dga', 'afddeutschland', 'hjkhorki']",https://www.tiktok.com/@x6.96_/video/7113971600302574849
7032760593111076102,1637442176,148,354534,96221,10196,4255892,#Impfzwang #corona #covid #mutzurwahrheit #Lückenpresse #ulrichsiegmund #AfD #2G #NiewiederCDU #fakenews,False,mutzurwahrheit90,Ulrich Siegmund,399300,112,5300000,134,2330,False,"['impfzwang', 'corona', 'covid', 'mutzurwahrheit', 'lückenpresse', 'ulrichsiegmund', 'afd', '2g', 'niewiedercdu', 'fakenews']",https://www.tiktok.com/@mutzurwahrheit90/video/7032760593111076102
7292838437453925640,1697996274,13,287771,5552,6050,3999929,💙Make Germany Great Again💙 ⚠️Dieses Video dient nur zur Aufklärung⚠️ #fy #politik #Unserlandzuerst #germany #afd #politikfürdeutschland #deutschland #xhat #sh4rkomo #alternativefürdeutschland #foryou #viral #foryoupage #viraltiktok #politiker #fyp #fyp>) #gönnfy #aliceweidel #makegermanygreatagain,False,afdrettetdeutschland,Rettet Deutschland 🇩🇪,68000,3,1100000,79,17,False,"['fy', 'politik', 'unserlandzuerst', 'germany', 'afd', 'politikfürdeutschland', 'deutschland', 'xhat', 'sh4rkomo', 'alternativefürdeutschland', 'foryou', 'viral', 'foryoupage', 'viraltiktok', 'politiker', 'fyp', 'fyp', 'gönnfy', 'aliceweidel', 'makegermanygreatagain']",https://www.tiktok.com/@afdrettetdeutschland/video/7292838437453925640
7332518938451954976,1707235110,21,237869,8728,5418,3843861,Made in Germany💙 #viral #foryou #fy #afd #afddeutschland #AFD #fyp #edit #afdwählen #afdwählen ,False,clips_30494,Afd_fraktion,72100,75,1500000,94,1706,False,"['viral', 'foryou', 'fy', 'afd', 'afddeutschland', 'afd', 'fyp', 'edit', 'afdwählen', 'afdwählen']",https://www.tiktok.com/@clips_30494/video/7332518938451954976
7272913585162980640,1693357179,31,231381,32090,5380,3683370,🖤♥️💛 #afd #deutschland #bundestag #afddeutschland #afdfraktion #afd_team ,False,herrafd,Herr AfD 🦋,27600,2,272600,68,109,False,"['afd', 'deutschland', 'bundestag', 'afddeutschland', 'afdfraktion', 'afd_team']",https://www.tiktok.com/@herrafd/video/7272913585162980640
7287994623119740193,1696868487,0,398900,50505,8318,3643380,"Die AfD besteht aus Personen, die ihr Wahlprogramm nicht gelesen zu haben scheinen, oder denen es gänzlich egal ist, was für Politik sie betreiben, welche Werte sie vertreten und was das in ihrem Land auslöst. Bitte schaut euch die Parteien, die ihr wählt genau an. Die AfD verbreitet in ihrem Wahlprogramm Falschinformationen und schafft Raum für Hass und Angstmache. In den Reihen der AfD stehen Personen, die sich selbst bekämpfen, die den Holocaust verharmlosen, die menschenverachtende Aussagen machen, die sich gewaltvoll äussern und sogar zu Gewalt aufrufen. Viele AfD Politiker geben kein besonders intelligentes Bild von sich ab, sind sich jedoch genau bwusst, wie sie leicht beeinflussbare Wähler bekommen. Passt auf, was ihr wählt und informiert euch vorab genau, was im Wahlprogramm steht. Hinterfragt das genau und schaut euch an, wie sich die Parteien auch ausserhalb präsentieren (Stichwort: AfD Zitate). Die AfD aus Protest zur derzeitigen Politik zu wählen ist der falsche Ansatz und trägt schwere Folgen mit sich (für jeden! von euch, vor allem für Frauen, Homosexuelle und Ausländer). Gebt Hass keinen Raum! Bitte seid euch dem bewusst!  -#fyp #afd #alternativefürdeutschland #alternativefürdeutschland💙🇩🇪 #fypシ #viral #deutschland #germany #afddeutschland💙💙 #aliceweidel #aliceweidel💙 ",False,deutslaynd,slayland💖,3434,26,658400,14,190,False,"['fyp', 'afd', 'alternativefürdeutschland', 'alternativefürdeutschland💙🇩🇪', 'fypシ', 'viral', 'deutschland', 'germany', 'afddeutschland💙💙', 'aliceweidel', 'aliceweidel💙']",https://www.tiktok.com/@deutslaynd/video/7287994623119740193
